ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
6,"Other",2020,"2020",59135,6296,"Skamania County, WA","05000US53059","skamania-county-wa"
6,"Other",2020,"2020",65882,6293,"Snohomish County, WA","05000US53061","snohomish-county-wa"
6,"Other",2020,"2020",49219,16110,"Spokane County, WA","05000US53063","spokane-county-wa"
6,"Other",2020,"2020",58766,14230,"Thurston County, WA","05000US53067","thurston-county-wa"
6,"Other",2020,"2020",44448,7120,"Walla Walla County, WA","05000US53071","walla-walla-county-wa"
6,"Other",2020,"2020",64133,24075,"Whatcom County, WA","05000US53073","whatcom-county-wa"
6,"Other",2020,"2020",24513,6442,"Whitman County, WA","05000US53075","whitman-county-wa"
6,"Other",2020,"2020",48540,3686,"Yakima County, WA","05000US53077","yakima-county-wa"
7,"Two Or More",2020,"2020",44000,26852,"Adams County, WA","05000US53001","adams-county-wa"
7,"Two Or More",2020,"2020",32339,26617,"Asotin County, WA","05000US53003","asotin-county-wa"
7,"Two Or More",2020,"2020",52213,18444,"Benton County, WA","05000US53005","benton-county-wa"
7,"Two Or More",2020,"2020",77104,22004,"Chelan County, WA","05000US53007","chelan-county-wa"
7,"Two Or More",2020,"2020",31657,11694,"Clallam County, WA","05000US53009","clallam-county-wa"
7,"Two Or More",2020,"2020",69662,8196,"Clark County, WA","05000US53011","clark-county-wa"
7,"Two Or More",2020,"2020",89750,47163,"Columbia County, WA","05000US53013","columbia-county-wa"
7,"Two Or More",2020,"2020",49853,13573,"Cowlitz County, WA","05000US53015","cowlitz-county-wa"
7,"Two Or More",2020,"2020",33056,8153.999999999999,"Douglas County, WA","05000US53017","douglas-county-wa"
7,"Two Or More",2020,"2020",43125,36229,"Ferry County, WA","05000US53019","ferry-county-wa"
7,"Two Or More",2020,"2020",62700,18742,"Franklin County, WA","05000US53021","franklin-county-wa"
7,"Two Or More",2020,"2020",36250,16600,"Garfield County, WA","05000US53023","garfield-county-wa"
7,"Two Or More",2020,"2020",50905,22134,"Grant County, WA","05000US53025","grant-county-wa"
7,"Two Or More",2020,"2020",50359,8524,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
7,"Two Or More",2020,"2020",68773,10694,"Island County, WA","05000US53029","island-county-wa"
7,"Two Or More",2020,"2020",33147,25244,"Jefferson County, WA","05000US53031","jefferson-county-wa"
7,"Two Or More",2020,"2020",82133,3766,"King County, WA","05000US53033","king-county-wa"
7,"Two Or More",2020,"2020",70501,6753.000000000001,"Kitsap County, WA","05000US53035","kitsap-county-wa"
7,"Two Or More",2020,"2020",31992,22019,"Kittitas County, WA","05000US53037","kittitas-county-wa"
7,"Two Or More",2020,"2020",47461,38594,"Klickitat County, WA","05000US53039","klickitat-county-wa"
7,"Two Or More",2020,"2020",63963,16120,"Lewis County, WA","05000US53041","lewis-county-wa"
7,"Two Or More",2020,"2020",51023,20626,"Lincoln County, WA","05000US53043","lincoln-county-wa"
7,"Two Or More",2020,"2020",45938,10867,"Mason County, WA","05000US53045","mason-county-wa"
7,"Two Or More",2020,"2020",44931,27927,"Okanogan County, WA","05000US53047","okanogan-county-wa"
7,"Two Or More",2020,"2020",25208,10055,"Pacific County, WA","05000US53049","pacific-county-wa"
